ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
0 ADUNO 18-19 /Z;CH0398633617;ADU181;39863361;100.4;;;20181221;100.4;;0;0;CHF;20181221;100.3;20181221;100.3;20181114;20191113;XSWX;BO;CH;0
0 AKB 16-22;CH0314250983;AGK16;31425098;101.25;;;20180504;101.25;;0;0;CHF;20180504;101;20180504;101;20160307;20220304;XSWX;BO;CH;0
0 APPENZELL 16-31;CH0330939197;APB16;33093919;101.2;;;;101.2;;0;0;CHF;;;;;20160713;20310711;XSWX;BO;CH;0
0 BKB 18-22;CH0394905696;BSK18;39490569;101.15;;;20181106;101.15;;0;0;CHF;20180528;101.3;20180419;100.55;20180409;20220407;XSWX;BO;CH;0
0 BL KB 16-20;CH0312203851;BLK16;31220385;100.65;;;20181228;100.65;;0;0;CHF;20180208;101.05;20181112;100.64;20160419;20200416;XSWX;BO;CH;0
0 BL KB 17-21;CH0381583886;BLK17;38158388;101.2;;;20181227;101.2;;0;0;CHF;20181227;101.25;20180215;100.6;20171005;20211001;XSWX;BO;CH;0
0 BL KB 18-23;CH0407153342;BLK181;40715334;100.95;;;20190108;100.95;;0;0;CHF;20180529;100.95;20180424;100;20180322;20230321;XSWX;BO;CH;0
0 EIDG 16-29;CH0224397346;E161;22439734;101.85;;;20190109;101.85;;0;1500000;CHF;20190104;102.78;20180208;97.4;20160609;20290620;XSWX;BO;CH;530000
0 FSTCHMO 17-20;CH0389606044;FMS173;38960604;100;;;20181008;100;;0;0;CHF;20180312;100.1;20180227;99.4;20171124;20201119;XSWX;AS;CH;0
0 GIV 16-22;CH0343366776;GIV160;34336677;99.8;;;20190110;99.8;;0;0;CHF;20180903;100.6;20181012;98.95;20161205;20221205;XSWX;BO;CH;2400000
0 KT AG 15-21;CH0305954528;AG15;30595452;101.9;;;20180718;101.9;;0;0;CHF;20180718;101.75;20180201;101.3;20151209;20211207;XSWX;BO;CH;0
0 KT AG 17-22;CH0353428045;AG17;35342804;101.7;;;20181029;101.7;;0;0;CHF;20180709;101.75;20180116;101.45;20170215;20220215;XSWX;BO;CH;0
0 KT BS 16-21;CH0345536517;BS164;34553651;101.7;101.7;101.7;20190111;101.55;101.7;50000;50000;CHF;20180622;101.75;20180419;101.15;20161122;20211122;XSWX;BO;CH;0
0 KT BS 16-22;CH0310175507;BS16;31017550;101.6;;;20190104;101.6;;0;0;CHF;20180622;101.9;20180209;101.05;20160126;20220126;XSWX;BO;CH;0
0 KT BS 16-23;CH0331455326;BS161;33145532;101.8;;;20181108;101.8;;0;0;CHF;20180704;101.55;20180216;100.35;20160901;20230901;XSWX;BO;CH;0
0 KT BS 16-26;CH0331455334;BS162;33145533;100.55;;;20181227;100.55;;0;0;CHF;20181227;100.6;20180424;97.8;20160901;20260902;XSWX;BO;CH;0
0 KT BS 16-29;CH0331455342;BS163;33145534;97.85;;;20181205;97.85;;0;0;CHF;20180816;97.85;20180423;94.7;20160901;20290903;XSWX;BO;CH;0
0 KT BS 17-24;CH0353574327;BS17;35357432;101.15;101.15;101.15;20190111;101.15;101.15;290000;290000;CHF;20190111;101.15;20180301;99.8;20171122;20241120;XSWX;BO;CH;0
0 KT BS 18-23 /Z;CH0445625004;BS182;44562500;101.45;;;20190108;101.45;;0;0;CHF;20190103;101.95;20181130;101.1;20181126;20231124;XSWX;BO;CH;0
0 KT BS 18-25;CH0394905712;BS181;39490571;101;;;20181221;101;;0;0;CHF;20181221;101.05;20180927;99.3;20180921;20250922;XSWX;BO;CH;0
0 KT LU 18-25;CH0434678378;LU18;43467837;101.15;;;20181204;101.15;;0;0;CHF;20181204;100.15;20181023;99.45;20181011;20251013;XSWX;BO;CH;0
0 KT SO 15-23;CH0297343557;SO151;29734355;101.6;;;20181109;101.6;;0;0;CHF;20180709;101.3;20180125;100.5;20151002;20231012;XSWX;BO;CH;0
0 KT SO 17-25;CH0379268755;SO17;37926875;100.8;;;20181116;100.8;;0;0;CHF;20180730;99.7;20180201;98.8;20171023;20251023;XSWX;BO;CH;0
0 KT ZH 18-23 /Z;CH0446595644;ZH181;44659564;101.7;101.7;101.7;20190111;101.65;101.7;25000;7275000;CHF;20190111;101.7;20181212;101.25;20181212;20231212;XSWX;BO;CH;0
0 KT ZH 18-25;CH0373476933;ZH18;37347693;101.35;;;20190104;101.35;;0;0;CHF;20190104;101.75;20180927;99.5;20180626;20250625;XSWX;BO;CH;0
0 KTSZ 16-23;CH0307256419;SZ16;30725641;101.7;;;20181221;101.7;;0;0;CHF;20181221;101.55;20180205;100.4;20160121;20230118;XSWX;BO;CH;0
0 PB S620 15-20;CH0299453313;PB620;29945331;100.79;;;20190107;100.79;;0;0;CHF;20180321;101.48;20190107;100.79;20160301;20200702;XSWX;PB;CH;0
0 PB S622 15-20;CH0304755124;PB622;30475512;101.07;;;20181218;101.07;;0;0;CHF;20180329;101.49;20181218;101.1;20160301;20201123;XSWX;PB;CH;0
0 PB S624 16-20;CH0310175556;PB624;31017555;100.65;;;20181210;100.65;;0;0;CHF;20180403;101.28;20181115;100.7;20160301;20200107;XSWX;PB;CH;0
0 PB S626 16-21;CH0319415912;PB626;31941591;101.15;;;20181123;101.15;;0;0;CHF;20180718;101.46;20180516;101.02;20160421;20210630;XSWX;PB;CH;0
0 PB S630 16-22;CH0323735610;PB630;32373561;101.29;;;20181219;101.34;;0;0;CHF;20180604;101.42;20180205;100.58;20160518;20220701;XSWX;PB;CH;0
0 PB S634 16-21;CH0336352734;PB634;33635273;101.08;;;20181116;101.08;;0;0;CHF;20180625;101.6;20181115;100.98;20160831;20210324;XSWX;PB;CH;1000000
0 PB S638 16-23;CH0338330407;PB638;33833040;101.22;;;20181212;101.22;;0;0;CHF;20180711;100.98;20180423;100.07;20160921;20230512;XSWX;PB;CH;2900000
0 PB S642 16-22;CH0343366826;PB642;34336682;101.26;101.26;101.26;20190111;101.24;101.26;100000;100000;CHF;20190111;101.26;20181205;101.06;20161117;20220211;XSWX;PB;CH;0
0 PB S650 17-22;CH0370943539;PB650;37094353;101.23;;;20190104;101.23;;0;0;CHF;20190104;101.23;20181102;100.68;20170623;20221118;XSWX;PB;CH;0
0 PSP 16-23;CH0330143170;PSP162;33014317;99.5;;;20190110;99.5;;0;0;CHF;20180117;99.6;20180425;97.85;20160831;20230830;XSWX;BO;CH;0
0 PZ S468 15-20;CH0295186370;PZ468;29518637;100.83;;;20181220;100.83;;0;0;CHF;20180213;101.39;20181106;100.81;20160301;20200713;XSWX;PB;CH;0
0 PZ S472 15-23;CH0306173722;PZ472;30617372;101.3;;;20190110;101.3;;0;0;CHF;20190110;101.3;20180201;99.83;20160301;20230721;XSWX;PB;CH;0
0 PZ S477 16-21;CH0312512699;PZ477;31251269;101.2;;;20181129;101.2;;0;0;CHF;20180619;101.36;20181107;100.97;20160329;20211213;XSWX;PB;CH;900000
0 PZ S479 16-22;CH0319403736;PZ479;31940373;101.3;;;20181212;101.3;;0;0;CHF;20181212;101.16;20180927;100.65;20160606;20221103;XSWX;PB;CH;0
0 PZ S482 16-24;CH0336587669;PZ482;33658766;100.8;;;20190108;100.8;;0;0;CHF;20190108;100.8;20180215;98.99;20160901;20240612;XSWX;PB;CH;0
0 PZ S483 16-27;CH0336587719;PZ483;33658771;98.99;;;20190103;98.99;;0;0;CHF;20190103;99.34;20180216;95.99;20160901;20270125;XSWX;PB;CH;0
0 PZ S485 16-26;CH0337645581;PZ485;33764558;99.27;;;20190103;99.27;;0;0;CHF;20190103;99.58;20180219;96.53;20161020;20260930;XSWX;PB;CH;0
0 RHBAG 16-25;CH0330938892;RHB16;33093889;100.85;;;20181130;100.85;;0;0;CHF;20181130;100.2;20180611;98.95;20160830;20250828;XSWX;BO;CH;0
0 RHBAG 16-31;CH0330938900;RHB161;33093890;95.15;;;20181207;95.15;;0;0;CHF;20181207;94.2;20180221;91.75;20160830;20310828;XSWX;BO;CH;990000
0 SCHIND 18-20;CH0414510047;SCH180;41451004;100.4;;;20180924;100.4;;0;0;CHF;20180710;100.6;20180702;100.25;20180601;20200603;XSWX;BO;CH;0
0 SONOVA 16-19;CH0340912143;SON161;34091214;100.28;100.28;100.28;20190111;100.28;100.28;500000;500000;CHF;20180207;100.8;20180606;100.25;20161007;20191009;XSWX;BO;CH;0
0.01 KT TI 17-25;CH0387879072;TI17;38787907;100.6;;;20181130;100.6;;0;0;CHF;20180530;100.1;20181023;98.8;20171220;20251219;XSWX;BO;CH;0
0.01 KT ZH 17-26;CH0353945378;ZH17;35394537;100.7;;;20190108;100.7;;0;0;CHF;20190104;100.95;20180522;98.35;20170303;20260903;XSWX;BO;CH;0
0.01 PZ S491 17-24;CH0357676151;PZ491;35767615;101.07;;;20190103;101.07;;0;0;CHF;20190103;101.32;20180522;99.85;20170411;20240201;XSWX;PB;CH;0
0.01 SONOVA 16-21;CH0340912150;SON162;34091215;100.3;;;20190109;100.3;;0;0;CHF;20180528;100.65;20180802;99.6;20161007;20211007;XSWX;BO;CH;200000
0.02 AKB 16-24;CH0336587644;AGK162;33658764;100.7;;;20181207;100.7;;0;0;CHF;20180404;101;20180424;98.7;20161014;20241015;XSWX;BO;CH;450000
0.02 KT GE 15-24;CH0302790131;GE151;30279013;100.9;;;20190110;100.9;;0;0;CHF;20190104;101.2;20180202;98.75;20151125;20241125;XSWX;BO;CH;0
0.02 ZKB 16-27;CH0330143188;ZKB139;33014318;98.25;;;20190108;98.25;;0;0;CHF;20190108;98.25;20180207;95.55;20160815;20270812;XSWX;BO;CH;0
0.03 ZKB 16-22;CH0307256401;ZKB16;30725640;101.2;;;20181219;101.2;;0;0;CHF;20180403;101.5;20180130;100.4;20160210;20220209;XSWX;BO;CH;0
0.04 BERN 16-27;CH0319416126;BER16;31941612;99.55;;;20181218;99.55;;0;0;CHF;20181218;99.55;20180516;96.75;20160329;20270325;XSWX;BO;CH;0
0.04 KT NE 15-24;CH0300417273;RNE15;30041727;101.35;;;20181106;101.35;;0;0;CHF;20180403;100.7;20180205;99.3;20151109;20241107;XSWX;BO;CH;0
0.04 ZKB 15-22;CH0305186535;ZKB136;30518653;101.25;;;20181228;101.25;;0;0;CHF;20181228;101.35;20180130;100.15;20151208;20221207;XSWX;BO;CH;0
0.05 AKB 15-22;CH0304966960;AGK153;30496696;101.3;;;20190108;101.3;;0;0;CHF;20190108;101.3;20180212;100.2;20151215;20221214;XSWX;BO;CH;0
0.05 AMAG 18-20;CH0398677762;AMG181;39867776;100.05;;;20181214;100.05;;0;0;CHF;20180629;100.2;20181128;99.73;20180208;20200210;XSWX;BO;CH;0
0.05 GEBM 15-19;CH0276237648;GEB15;27623764;100.12;;;20190110;100.12;;0;0;CHF;20180221;100.49;20181228;100.1;20150415;20190415;XSWX;BO;CH;0
0.05 GLARNERK 18-24;CH0398633260;GKB181;39863326;100.55;;;20181130;100.55;;0;0;CHF;20180820;100.2;20181107;99.15;20180803;20241204;XSWX;BO;CH;0
0.05 KT BE 16-31;CH0343366792;BE16;34336679;95.7;;;20190108;95.7;;0;0;CHF;20190104;95.9;20181008;92.75;20161116;20311114;XSWX;BO;CH;1000000
0.05 PZ S480 16-26;CH0319403744;PZ480;31940374;99.61;;;20181221;99.61;;0;0;CHF;20181221;99.49;20180425;97.12;20160606;20261104;XSWX;PB;CH;0
0.05 WTHUR 17-26;CH0357483194;WIN17;35748319;100.15;;;20180307;100.15;;0;0;CHF;20180307;98.1;20180307;98.1;20170315;20260313;XSWX;BO;CH;0
0.05 ZKB 16-26;CH0342587638;ZKB140;34258763;99.3;;;20181228;99.3;;0;0;CHF;20181228;99.45;20180213;96.65;20161122;20261119;XSWX;BO;CH;0
0.06 AKB 16-25;CH0328599235;AGK161;32859923;100.5;;;20181228;100.5;;0;0;CHF;20181227;100.65;20180213;98.1;20160630;20250627;XSWX;BO;CH;0
0.06 PSP 18-22;CH0373476537;PSP181;37347653;100.1;100.1;100.1;20190111;100.05;100.1;100000;100000;CHF;20180925;100.3;20181212;99.7;20180321;20220209;XSWX;BO;CH;0
0.08 WKB 15-21;CH0293343395;WKB151;29334339;101.05;;;20181220;101.05;;0;0;CHF;20180830;101.3;20180216;100.6;20150911;20210913;XSWX;BO;CH;0
0.10 BUEHL 17-22;CH0389606077;BUH17;38960607;100.15;100.15;100.15;20190111;100.1;100.15;150000;150000;CHF;20180620;100.6;20181204;98.8;20171219;20221219;XSWX;BO;CH;3000000
0.10 LU KB 16-31;CH0337172313;LUK161;33717231;94.05;;;20190109;94.05;;0;0;CHF;20180115;95.15;20180925;91.5;20160913;20310910;XSWX;BO;CH;0
0.10 LU KB 18-24;CH0414522273;LUK181;41452227;101;;;20190108;100.95;;0;0;CHF;20190107;101.3;20181017;100;20180504;20240503;XSWX;BO;CH;0
0.10 ROK 17-24;CH0358654975;ROK124;35865497;100.5;;;20190110;100.45;;0;0;CHF;20190103;100.7;20180215;99.05;20170321;20240919;XSWX;BO;CH;800000
0.10 SCCISS 18-21;CH0417086094;SCC18;41708609;99.85;;;20181219;99.85;;0;0;CHF;20180619;99.8;20180830;99.45;20180613;20210611;XSWX;AS;CH;0
0.10 SZ KB 16-28;CH0340907929;SZK161;34090792;98.1;;;20181204;98.1;;0;0;CHF;20180704;97.35;20180921;95.6;20161024;20281023;XSWX;BO;CH;0
0.11 AKB 17-24;CH0353688929;AGK17;35368892;101.3;;;20181221;101.3;;0;0;CHF;20181221;101.35;20180423;100;20170220;20240219;XSWX;BO;CH;0
0.12 SWISSCAR3 18-21;CH0406415320;SCA18;40641532;99.8;;;20190107;99.8;;0;0;CHF;20180504;100;20181004;99.4;20180416;20210414;XSWX;AS;CH;0
0.125 BKB 18-24;CH0394905704;BSK181;39490570;101.3;101.3;101.3;20190111;101.15;101.3;25000;25000;CHF;20190111;101.3;20180426;99.8;20180409;20240409;XSWX;BO;CH;0
0.125 EGW 15-25;CH0280737518;EGW51;28073751;101.8;;;20181128;101.8;;0;0;CHF;20180416;102.35;20180208;100;20150526;20250523;XSWX;BO;CH;0
0.125 EKW 15-22;CH0266836128;ENG15;26683612;99.1;;;20190103;99.1;;0;0;CHF;20180316;99.8;20180425;98.2;20150226;20220228;XSWX;BO;CH;0
0.125 GENF 15-25;CH0267856000;VGV15;26785600;101.05;;;20181106;101.05;;0;0;CHF;20180605;100.5;20180522;99.35;20150211;20250210;XSWX;BO;CH;0
0.125 GR KB 18-24;CH0373476776;GRK181;37347677;101.5;;;20181107;101.5;;0;0;CHF;20180528;101.25;20181107;100.2;20180528;20240527;XSWX;BO;CH;0
0.125 KT BL 15-26;CH0267855986;BL15;26785598;101.8;;;20190110;101.8;;0;0;CHF;20190104;102.05;20180214;98.9;20150224;20260224;XSWX;BO;CH;0
0.125 KT LU 17-29;CH0368306871;LU17;36830687;99.4;;;20181108;99.4;;0;0;CHF;20180810;98.75;20181108;97.15;20170616;20290618;XSWX;BO;CH;0
0.125 KT TI 15-25;CH0266836144;TI15;26683614;101.5;;;20181211;101.5;;0;0;CHF;20180821;100.9;20180126;99.8;20150304;20250304;XSWX;BO;CH;0
0.125 LONZA 16-21;CH0341725908;LON16;34172590;99.55;99.55;99.55;20190111;99.55;99.55;20000;40000;CHF;20180315;100.1;20180718;99.05;20161028;20211029;XSWX;BO;CH;0
0.125 PB S607 15-19;CH0276801450;PB607;27680145;100.03;;;20190110;100.03;;0;0;CHF;20180131;100.95;20190110;100.03;20160301;20190123;XSWX;PB;CH;20000000
0.125 PB S609 15-23;CH0280569093;PB609;28056909;101.63;;;20181212;101.63;;0;0;CHF;20180621;101.75;20180209;100.45;20160301;20231130;XSWX;PB;CH;500000
0.125 PB S627 16-28;CH0319415920;PB627;31941592;98.56;;;20190110;98.56;;0;0;CHF;20190104;98.95;20180215;95.11;20160421;20280904;XSWX;PB;CH;0
0.125 PB S631 16-27;CH0323735628;PB631;32373562;98.97;98.97;98.97;20190111;99.22;98.97;15000;15000;CHF;20190103;99.69;20180215;96.01;20160518;20271213;XSWX;PB;CH;0
0.125 PB S635 16-31;CH0336352742;PB635;33635274;94.98;;;20190109;94.98;;0;0;CHF;20181221;95.3;20181004;92.33;20160831;20310711;XSWX;PB;CH;3000000
0.125 PB S639 16-32;CH0338330415;PB639;33833041;93.8;;;20181206;93.8;;0;0;CHF;20180117;94.02;20180209;91.25;20160921;20320921;XSWX;PB;CH;0
0.125 PB S643 17-25;CH0347556901;PB643;34755690;101.25;;;20190110;101.29;;0;0;CHF;20190110;101.29;20180209;99.3;20170119;20250502;XSWX;PB;CH;0
0.125 PB S648 17-24;CH0362748326;PB648;36274832;101.46;101.49;101.46;20190111;101.44;101.49;220000;220000;CHF;20181228;101.5;20180212;99.82;20170522;20240322;XSWX;PB;CH;0
