ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
0 HYPONOE 17-20;CH0367013973;NOL172;36701397;100.45;;;20181206;100.45;;0;0;CHF;20181203;100.65;20180323;100;20170628;20201228;XSWX;BO;AT;0
0 LANDOE 17-19;CH0370943604;NOE171;37094360;100.37;;;20190103;100.37;;0;0;CHF;20180914;100.46;20181218;100.32;20170811;20190626;XSWX;BO;AT;0
0 WELTBK 86-21;CH0008805449;WEL86B;880544;101.75;;;20181218;101.75;;0;0;CHF;20180531;101.95;20180515;101.2;19960816;20211124;XSWX;BO;US;0
0.01 BAWAG PSK 16-21;CH0338330498;BAW16;33833049;99.9;;;20190110;99.9;;0;0;CHF;20181101;100.5;20180130;99.45;20161024;20210913;XSWX;BO;AT;0
0.04 LANDOE 16-26;CH0336352817;NOE162;33635281;99.6;;;20190109;99.5;;0;0;CHF;20190109;99.4;20181009;97.1;20161020;20261021;XSWX;BO;AT;0
0.05 BAOMO 18-22;CH0426621717;BOM18;42662171;100.35;;;20181206;100.35;;0;0;CHF;20180820;100.4;20181005;99.65;20180802;20221228;XSWX;BO;CA;1800000
0.05 MONDELE 17-20;CH0360172685;MON17;36017268;100.1;;;20181221;100.1;;0;0;CHF;20180409;100.45;20180212;100;20170329;20200327;XSWX;BO;US;0
0.10 CAHL 16-26;CH0310175598;CAB16;31017559;100.25;;;20181220;100.25;;0;0;CHF;20180904;100;20180216;97.65;20160125;20260122;XSWX;BO;FR;0
0.10 CIBC 18-25;CH0413618346;CIB18;41361834;101.35;;;20181228;101.35;;0;0;CHF;20181228;101.5;20180523;99.4;20180426;20250428;XSWX;BO;CA;0
0.10 DEUT BAHN 15-25;CH0303138520;DBF15;30313852;100.3;100.3;100.25;20190111;100;100.25;55000;55000;CHF;20180904;100.75;20180215;98.35;20151127;20251127;XSWX;BO;DE;0
0.10 MHB 18-24 /Z;CH0438965532;MUN182;43896553;101.6;;;20181220;101.6;;0;0;CHF;20181211;101.2;20181105;100.25;20181029;20241029;XSWX;BO;DE;0
0.10 RY 18-23;CH0423563532;RY18;42356353;100.7;;;20181219;100.7;;0;0;CHF;20181219;100.6;20181016;99.85;20180716;20230714;XSWX;BO;CA;0
0.125 CIBC 15-25;CH0305398254;CIB15;30539825;101.25;101.25;101.25;20190111;101.1;101.25;150000;150000;CHF;20190107;101.6;20180215;98.45;20151218;20251218;XSWX;BO;CA;0
