id;1st level;2nd level;3rd level;4th level;5th level;6th level
69;200000;210000;211000;211100;211110;
;;;;;;
70;200000;210000;211000;211100;211110;
71;200000;210000;211000;211100;211110;
;;;;;;
;;;;;;
73;200000;210000;211000;211100;211120;211121
;;;;;;
74;200000;210000;211000;211100;211120;211121
75;200000;210000;211000;211100;211120;211121
76;200000;210000;211000;211100;211120;211122
77;200000;210000;211000;211200;211130;
516;200000;210000;211000;211200;211130;
78;200000;210000;211000;211200;211210;
517;200000;210000;211000;211200;211210;
80;200000;210000;211000;211200;211210;
81;200000;210000;211000;211200;211210;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
83;200000;220000;221000;221100;221110;
;;;;;;
84;200000;220000;221000;221100;221110;
85;200000;220000;221000;221100;221110;
;;;;;;
;;;;;;
87;200000;220000;221000;221100;221120;221121
;;;;;;
88;200000;220000;221000;221100;221120;221121
89;200000;220000;221000;221100;221120;221121
90;200000;220000;221000;221100;221120;221122
91;200000;220000;221000;221200;221120;221122
271;200000;220000;221000;221200;221120;221122
;;;;;;
;;;;;;
;;;;;;
;;;;;;
518;200000;220000;222000;222100;222110;
;;;;;;
519;200000;220000;222000;222100;222110;
520;200000;220000;222000;222100;222110;
96;200000;220000;222000;222100;222120;
274;200000;220000;222000;222100;222120;
;;;;;;
;;;;;;
521;200000;220000;222000;222200;222210;
;;;;;;
522;200000;220000;222000;222200;222210;
523;200000;220000;222000;222200;222210;
99;200000;220000;222000;222200;222220;
;;;;;;
;;;;;;
;;;;;;
524;200000;220000;222000;222300;222310;
;;;;;;
525;200000;220000;222000;222300;222310;
526;200000;220000;222000;222300;222310;
102;200000;220000;222000;222300;222320;
275;200000;220000;222000;222300;222320;
;;;;;;
;;;;;;
;;;;;;
527;200000;220000;222000;222400;222410;
104;200000;220000;222000;222400;222410;
;;;;;;
528;200000;220000;222000;222400;222410;
106;200000;220000;222000;222400;222410;
529;200000;220000;222000;222400;222410;
530;200000;220000;222000;222400;222410;
108;200000;220000;222000;222400;222420;
109;200000;220000;222000;222400;222420;
276;200000;220000;222000;222400;222420;
;;;;;;
;;;;;;
;;;;;;
111;200000;220000;223000;223100;222420;
112;200000;220000;223000;223100;222420;
531;200000;220000;223000;223100;222420;
532;200000;220000;223000;223100;222420;
278;200000;220000;223000;223100;222420;
;;;;;;
113;200000;220000;223000;223200;222420;
114;200000;220000;223000;223200;222420;
115;200000;220000;223000;223300;222420;
116;200000;220000;223000;223400;222420;
280;200000;220000;223000;223400;222420;
279;200000;220000;223000;223400;222420;
117;200000;220000;223000;223500;222420;
282;200000;220000;223000;223500;222420;
283;200000;220000;223000;223500;222420;
281;200000;220000;223000;223500;222420;
118;200000;220000;223000;223500;222420;
119;200000;220000;223000;223500;222420;
120;200000;220000;223000;223500;222420;
93;200000;220000;223000;223500;222420;
273;200000;220000;223000;223500;222420;
272;200000;220000;223000;223500;222420;
121;200000;220000;223000;223500;222420;
;;;;;;
;;;;;;
;;;;;;
122;200000;220000;223000;223500;222420;
123;200000;220000;223000;223500;222420;
124;200000;220000;223000;223500;222420;
