;Order date;Order type;Workflow status;Business Partner;Container;Front Office Domicile Country;Money Account (-) (leg 1);Money Account (+) (leg 1);Money Account (-) (leg 2);Money Account (+) (leg 2);Bank buys (leg 1);Bank buys (leg 2);Bank sells leg 1;Bank sells leg 2;Asset leg 1;Asset leg 2;Trade date;Value date leg 1;Value date leg 2
156400813;29.12.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.GBP recon_settle;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255.MM MACC.SETTLE.OUT.GBP recon_settle;GBP 800000;CHF 994099.2;CHF 994392;GBP 800000;FX Swap Near Leg - GBP/CHF, 31.12.18 (1187808);FX Swap Far Leg - GBP/CHF, 04.01.19 (1187809);28.12.2018;31.12.2018;04.01.2019
156400593;29.12.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;000025502978 BE87480945108794 Nostro Account EUR;EUR 5129704.58;CAD 8000000;CAD 8000000;EUR 5129313.19;FX Swap Near Leg - CAD/EUR, 28.12.18 (1187790);FX Swap Far Leg - CAD/EUR, 04.01.19 (1187791);28.12.2018;28.12.2018;04.01.2019
156393569;28.12.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;USD 3500000;EUR 3065440.14;EUR 3071506.42;USD 3500000;FX Swap Near Leg - USD/EUR, 27.12.18 (1185786);FX Swap Far Leg - USD/EUR, 18.01.19 (1185787);27.12.2018;27.12.2018;18.01.2019
156369539;22.12.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 7000000;CHF 7917770;CHF 7918243.9;EUR 7000000;FX Swap Near Leg - EUR/CHF, 21.12.18 (1181799);FX Swap Far Leg - EUR/CHF, 27.12.18 (1181800);21.12.2018;21.12.2018;27.12.2018
137137751;20.12.2018;FX swap;Discarded;CORNER BANCA S.A. LUGANO;0000937.3002 AUX Interim money trading (23);;0000937.MM MACC.SETTLE.IN.EUR recon_settle;0000937.MM MACC.SETTLE.OUT.USD recon_settle;0000937.MM MACC.SETTLE.IN.USD recon_settle;0000937.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10000000;USD 11849001.3;USD 11815000;EUR 10000000;FX Trade - EUR/USD;FX Trade - EUR/USD;06.12.2017;08.12.2017;08.01.2018
156347645;20.12.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 737310;CAD 1000000;CAD 1000000;CHF 736988;FX Swap Near Leg - CAD/CHF, 21.12.18 (1179839);FX Swap Far Leg - CAD/CHF, 28.12.18 (1179840);19.12.2018;21.12.2018;28.12.2018
156346173;20.12.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 1820000000;EUR 14207650.27;EUR 14203326.08;JPY 1820000000;FX Swap Near Leg - JPY/EUR, 21.12.18 (1179797);FX Swap Far Leg - JPY/EUR, 18.01.19 (1179798);19.12.2018;21.12.2018;18.01.2019
156346043;20.12.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153A0002 83-55.030.233 Nostro Account GBP;0001153A0002 83-55.030.233 Nostro Account GBP;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 18105230;GBP 14300000;GBP 14300000;USD 18135975;FX Swap Near Leg - GBP/USD, 21.12.18 (1179794);FX Swap Far Leg - GBP/USD, 18.01.19 (1179795);19.12.2018;21.12.2018;18.01.2019
154667467;01.12.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.EUR recon_settle;0001153.MM MACC.SETTLE.OUT.CHF recon_settle;0001153.MM MACC.SETTLE.IN.CHF recon_settle;0001153.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 4409501.59;CHF 5000000;CHF 5000000;EUR 4410396.19;FX Swap Near Leg - CHF/EUR, 03.12.18 (1148791);FX Swap Far Leg - CHF/EUR, 21.12.18 (1148792);30.11.2018;03.12.2018;21.12.2018
154661195;30.11.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153.MM MACC.SETTLE.OUT.CAD recon_settle;0001153.MM MACC.SETTLE.IN.CAD recon_settle;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 3500000;CAD 4638791.5;CAD 4640650;USD 3500000;FX Swap Near Leg - USD/CAD, 30.11.18 (1146792);FX Swap Far Leg - USD/CAD, 21.12.18 (1146793);29.11.2018;30.11.2018;21.12.2018
