Numeric sort;1;NAME;Language;Domicile;Nationality;Country of taxation;Reporting currency;manual_SWIFT;Product;Registered Ownership;Primary contact person;Primary Contact Remark
1;SOLADEST;HINDUJA BANK(SUISSE) SA;French;Switzerland;Switzerland;Switzerland;CHF;ABSGCHGG;;;;
123;BIRCCHGG;LANDESBANK BADEN-WUERTTEM;English;Germany;Germany;Germany;EUR;SOLADEST;;;;
169;BCGECHGG;BRIDPORT & CO. (JERS) LTD;English;United Kingdom;United Kingdom;United Kingdom;CHF;BIRCCHGG;;;;
231;235;BANQUE CANTONALE GENEVE;English;Switzerland;Switzerland;Switzerland;CHF;BCGECHGG;;;;
235;BCVLCH2L;HINDUJA VENTURES LTD, Mumbai;English;India;India;India;CHF;;;;;
246;KREDBEBB;BANQUE CANTONALE VAUDOISE;English;Switzerland;Switzerland;Switzerland;CHF;BCVLCH2L;;;;
255;298;KBC BANK BRUSSELS;English;Belgium;Belgium;Belgium;EUR;KREDBEBB;;;;
298;ESIC;SAFE LUGANO;English;Switzerland;Switzerland;Switzerland;CHF;;;;;
375;INDBINBBGRD;SECB Swiss Euro Clearing Bank GbmH, Frankfurt;German;Germany;Switzerland;Switzerland;CHF;SECGDEFF;;;;
421;COBADEFF;INDUSIND BANK MUMBAI;English;India;India;India;USD;INDBINBBGRD;;;;
593;650;COMMERZBANK AG;English;Germany;Germany;Germany;CHF;COBADEFF;;;;
650;802;CITCO FD SERV. A'DAM;English;Netherlands;Netherlands;Netherlands;EUR;;;;;
802;860;VISECA CARD SERVICE SA;French;Switzerland;Switzerland;Switzerland;CHF;;;;;
860;874;AMERICAN EXPRESS;French;Switzerland;Switzerland;Switzerland;CHF;;;;;
874;NWBKGB2L;QUALIFLYER SWISSCARD;French;Switzerland;Switzerland;Switzerland;CHF;;;;;
884;CBLUCH22;NATWEST BANK PLC LONDON;English;United Kingdom;United Kingdom;United Kingdom;GBP;NWBKGB2L;;;;
