CIF_name;BANK_NAME;SWIFT;SWIFT_4
ABN AMRO;ABN AMRO BANK;;ABNA
ABSOLUT BANK OF MOSCOW;;;
ADB ;;;
AEK BANK;;;
AIG ZH;AIG PRIVATE BANK LTD.,ZURICH CHG TO FALCON PRIVATE;;UEBE
AK BANK;;;
ALPHA BANK;ALPHA BANK LIMITED;;ABKL
AMAS BKGE;;;
AUX LTD;;;
AXIS BANK;AXIS BANK LTD - Worli / Mumbai;AXISINBB;AXIS
BANCA DEL SEMPIONE;;;
Banca STATO;BANCA STATO;BSCTCH22;BSCT
BANCA SWIZZERA ;BANCA DELLA SVIZZERA ITALIANA;;BSIL
Banco Bilbabo;BANCO BILBAO VIZCAYA ARGENTARIA SA;;BBVA
BANCO COMMERCIAL DI LUGANO;;;
BANCO COMMERCIAL PORTUGES;BANCO COMERCIAL PROTUGUES;;BCOM
Banco del TESORO;;;
Banco santander madrid;BANCO SANTANDER S.A., MADRID;BSCHESMM;BSCH
BANK ALMANAC;;;
BANK JACOB SAFFRA SARASIN;;;SARA
BANK MED;;;
Bank of BARODA;BANK OF BARODA, LONDON;BARBGB2L;BARB
BANK OF KHANTY;;;
BANK OF MOSCOW;;;
BANK VONTOBEL;VONTOBEL AG, ZURICH;VONTCHZZ;VONT
BANKO SABADEL;BANCO DE SABADELL;;BSAB
BANQUE CANONTAL VAUDOISE;BANQUE CANTONALE VAUDOISE;BCVLCH2L;BCVL
BANQUE PROFIL DE GESTION;BANQUE PROFIL DE GESTION;BPDGCHGG;BPDG
BARCKLAYS LONDON;BARCLAYS BK PLC, LONDON;;BARC
BCGE Geneva;BANQUE CANTONALE GENEVE;BCGECHGG;BCGE
BCP Geneva;BANQUE DE COMMERCE ET DE PLACEMENTS S A;;BPCP
BELL PORTTER SECURTES;BELL POTTER SECURITIES LT;JOTPAU31;JOTP
BNY MELLON;BANK OF NEW YORK MELLON;IRVTLULX;IRVT
CAIXA;CAIXABANK S.A.;;CAIX
CALEDONIA BANK LIMITED;;;
CB OF SRILANKA;COMMERCIAL BANK OF CEYLON LTD.;;CCEY
CHINA TRUST;CHINATRUST COMMERCIAL BANK;;CTCB
