Organization;Own BIC;Corr Bic;Status DateTime;Service;Pending;Valid From;Valid To;Version;History;Gen Meth;Type;Export Date;Issue Datetime;Status;Permission;Last modified by
P01HBS;ABSGCHGG;AAALSARI;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2010-10-01T09:53:18Z;Enabled;;@Support
P01HBS;ABSGCHGG;AAALSARI;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2010-10-04T09:10:04Z;Enabled;;@Support
P01HBS;ABSGCHGG;ABCBBRSP;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;;Enabled;;@Support
P01HBS;ABSGCHGG;ABCBBRSP;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;ABCBKYKX;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;;Enabled;;@Support
P01HBS;ABSGCHGG;ABCBKYKX;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;;Enabled;;@Support
P01HBS;ABSGCHGG;ABCEGB2L;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2015-03-17T14:10:50Z;Enabled;;@Support
P01HBS;ABSGCHGG;ABCLKENA;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-04-22T14:28:31Z;Enabled;;@Support
P01HBS;ABSGCHGG;ABCLKENA;2015-12-29T15:06:56+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-04-24T14:56:27Z;Enabled;;@Support
P01HBS;ABSGCHGG;ABCNLYLT;2015-12-29T15:06:58+01:00;swift.fin;;;;1;CUR;Imported;To Receive;;2013-02-28T12:58:07Z;Enabled;;@Support
P01HBS;ABSGCHGG;ABCNLYLT;2015-12-29T15:06:54+01:00;swift.fin;;;;1;CUR;Imported;To Send;;2013-03-20T08:34:35Z;Enabled;;@Support
