Numeric_sort;name;country;relation.type;SWIFT
NA;ADCB (Abu Dhabi Commercial Bank);UAE;bank;ADCBAEAA
1169;Allfunds International SA;Luxembourg;bank;
1165;Banca Stato Ticino (Rental guarantee for HBS Lugano);Switzerland;bank;
306959;Bank of Baroda ;India;bank;
231;Banque Cantonale de Genève;Switzerland;bank;
1170;Banque Profile de Gestion;Switzerland;bank;
1141;Bell Potter Securities Ltd;Australia;bank;
593;Commerzbank;Germany;bank;
1068;Commerzbank;Germany;bank;
15581764;Commerzbank;Germany;bank;
937;Corner Bank;Switzerland;bank;
8000032;DZ Bank (formerly WGZ-Bank);Germany;bank;
15743179;DZ Bank (formerly WGZ-Bank);Germany;bank;
421;Indusind Bank;India;bank;
8000132;Julius Baer;Switzerland;bank;
255;KBC Bank NV;Belgium;bank;
7315087;KBL European Private Bankers;Luxembourg;bank;
123;Landesbank Baden-Wuerttemberg;Germany;bank;
1121;Landesbank Baden-Wuerttemberg;Germany;bank;
359591;Migros Bank;Switzerland;bank;
15633641;National Bank of Canada;Canada;bank;BNDCCAMM
884;Natwest Bank Plc London (HBS UK Rep. Office);UK;bank;
1153;Raiffeisen Bank INTL AG;Austria;bank;
375;SECB;Switzerland;bank;
8000006;SIX SIS;Switzerland;bank;
1176;State Bank of India;India;bank;
15559271;Swiss National Bank;Switzerland;bank;
7315017;UBS AG;Switzerland;bank;
1003;Zuercher Kantonalbank;Switzerland;bank;
1129;Apex Fund Services;Bermuda;broker_custodian;
1146;Aschenden Finbro Finance SA;Switzerland;broker_custodian;
1062;Banca IMI Spa;Italy;broker_custodian;
246;Banque Cantonale Vaudoise;Switzerland;broker_custodian;
169;Bridport & Co. (Jers) Ltd;UK;broker_custodian;
1075;Daiwa Securities SMBC Europe Ltd;UK;broker_custodian;
335954;Deutsche Bank AG;Germany;broker_custodian;
7420;EnCon United Company (ex-Europartners Inc.);USA;broker_custodian;
15565980;Exane SA;France;broker_custodian;
1143;Frankfurter Bankgesellschaft (Switzerland) AG;Switzerland;broker_custodian;
15566021;GFI Securities London;UK;broker_custodian;
344780;Hauck und Aufhäuser Banquiers;Luxembourg;broker_custodian;
1114;HSBC Fund Services;USA;broker_custodian;
1094;Leonteq AG (formerly EFG Financial Products AG);Switzerland;broker_custodian;
15566081;RBC Capital Markets Securities;UK;broker_custodian;
1053;Royal Bank of Scotland Plc;UK;broker_custodian;
1082;SBI Funds Management Private Ltd ;India;broker_custodian;
15926770;Sectram Partners SA;Switzerland;broker_custodian;
7423;The Bank of NY Mellon (ex-Alger Sicav / Alger Fund) Ltd;Luxembourg;broker_custodian;
1035;Toronto Dominion Bank;UK;broker_custodian;
1054;Unicredit (Replacing Bay. Hypo und Vereinsbank AG);Germany;broker_custodian;
1104;Vontobel Securities AG;Switzerland;broker_custodian;
15718590;DZ Bank (formerly WGZ Bank);Germany;;
15751121;DZ Bank (formerly WGZ Bank);Germany;;
16033302;Dubai Islamic Bank;UAE;;
16031644;Dubai Islamic Bank;UAE;;
297001;Hinduja Bank (Switzerland) Ltd;Switzerland;;
297008;Hinduja Bank (Switzerland) Ltd;Switzerland;;
297011;KBC;Belgium;;
15687007;Landesbank Baden-Wuerttenberg;Germany;;
297004;State Bank of India ;India;;
297003;Union National Bank, Dubai;UAE;;
